Q,a95,Com,Formation,Lat,Lon,CLat,CLon,RLat,RLon,EULER,Age,GPDB RefNo/Reference,Block
5,6.9,,Velay Oriental volcanics,-84.1,351.2,,,-83.6,3,(19.7/− 25.7/1.4),11.5,"3324, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,1.5,,"Orera, Spain",-72.4,352,,,-71.9,-3.5,(19.6/− 25.5/1.5),12,Abdul Aziz et al. (2000),"Stable “Europe” (301, 302, 401 from 250 Myr)"
4,4.4,,Volcanics Germany,-77.8,310.8,,,-78.9,-36.2,(20/− 19.7/2.9),24,"3282, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,3.4,,Hocheifel volcanics,-80.8,2,,,-78,26.5,(26.8/− 19.5/5.5),34,"1506, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,6.8,,Lower Palaeogene mudstone,-63.7,358.6,-76.7,357.2,-72.2,30.6,(30.5/− 15.7/10.3),52,3534,"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,1.5,,"Lundy island dikes, Wales",-83,335,,,-78.2,41.3,(34.5/− 15.7/12.4),59,755,"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,3.5,,"Vaternish dyke swarm, Scotland",-76,340,,,-72.9,22.7,(34.5/− 15.7/12.4),59,"85, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,1.2,,"Arran dikes, Scotland",-81.7,359.8,,,-74.9,46.3,(34.6/− 15.7/12.5),59.4,"1041, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2.8,,Arran intrusives and extrusives,-80.2,339.6,,,-76,33.2,(34.6/− 15.7/12.5),59.5,6090,"Stable “Europe” (301, 302, 401 from 250 Myr)"
4,1.5,,"Sleat dikes, Scotland",-82.5,338,,,-77.6,40.6,(34.7/− 15.7/12.5),59.8,"1174, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,5.7,,"Sky lavas, Scotland",-77.7,325.4,,,-76.2,18,(34.7/− 15.7/12.5),59.8,S. Rousse (Pers. Comm. 2011),"Stable “Europe” (301, 302, 401 from 250 Myr)"
4,2.7,,"Ardnamurchan complex, Scotland",-77,355,,,-71.5,34.4,(34.8/− 15.7/12.6),60,"1377, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,4.5,,Faeroe flood volcanics,-71.4,334.7,,,-69.8,11.3,(34.8/− 15.7/12.6),60.1,"3494, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,2.4,,"Rhum and Canna igneous, Scotland",-81,359,,,-74.3,44.8,(34.9/− 15.7/12.7),60.7,"1169, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,4.7,,"Mull lavas, Scotland",-73.3,346.2,,,-69.5,23.1,(35/− 15.7/12.8),60.9,Ganerød et al. (2008),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,4.7,,"Antrim Lava, Ireland",-78.9,347,,,-74,34.1,(35/− 15.7/12.8),61,Ganerød et al. (2010),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2.7,,Muck and Eigg igneous,-74,351,,,-69.4,27.5,(35.1/− 15.7/12.8),61.2,"1204, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,3.4,,"Aix-en-Provence, France",-79.1,344.5,-84.9,222.9,-82.4,95.9,(35.8/− 16/14.6),68,Cojan and Moreau (2006),"Stable “Europe” (301, 302, 401 from 250 Myr)"
7,8,,"Aix-en-Provence sediments, France",-73,336,,,-69.8,21.1,(35.4/− 15.7/15.2),74,"2394, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,3,,"Dagestan limstones, Caucasus",-74,341,,,-67.7,35.4,(37.5/− 14/19.5),86,"3037, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,3,,"Dagestan limstones, Caucasus",-74,328,,,-70.4,28.7,(37.5/− 14/19.5),86,"3037, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,5,,"Munsterland Turonian, Germany",-68,329,,,-65.1,22.3,(39.2/− 13.6/21.8),89.5,"1507, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,4,,Munster Basin limestone,-76,1,,,-62.9,54.7,(39.4/− 13.7/24.2),93,"1495, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,2.5,,Mongolia/Siberia Cretaceous Volcanics,-80.8,338.4,,,-63.2,70.6,(41.6/− 10.1/34.1),108,van Hinsbergen et al. (2008),"Stable “Europe” (301, 302, 401 from 250 Myr)"
6,2.9,,Berriasian limestones,-74,3,,,-48,82.4,(45.9/− 3.4/48.4),140,"1397, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,6,,"Jura Blue limestone, Switzerland",-78,328,,,-56,87.9,(48.4/− 1.1/52.8),156.5,"1337, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,3.9,,Oxfordian sediments,-70,327,,,-54.5,74.3,(48.5/− 1/53),157,"616, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,7,,"Terres Noires, France",-78,310,,,-59.5,88.7,(48.6/−.9/53.4),158,"3156, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,4,,"Subtatric Nappe sediments, Poland",-72,312,,,-59.3,77.2,(48.7/−.8/53.8),159,"1948, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,7.3,,"Limestones, Krakow–Czestochowa Upland",-72,330,,,-53.9,78.9,(48.7/−.8/53.8),160,"1948, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
7,6.3,,Jurassic sediments,-63,300,,,-62.2,62.5,(49.8/.3/57),168,"1514, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,6.8,,Scania basalts (179 ± 6 Ma),-69,283,,,-65.8,82.6,(49.4/.2/60.3),179,"2729, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,12,,"Thouars and Airvault Sections, France",-71,276,,,-65.6,90.9,(49.2/0/61.8),184,"1427, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,5.1,,Paris Basin drillcore,-66,295.2,,,-60.6,75.2,(49.1/−.1/62.3),186,3554,"Stable “Europe” (301, 302, 401 from 250 Myr)"
4,3,,Liassic sediments,-77,315,,,-52.1,94.8,(48.7/0/63.6),192,"1467, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,7.5,,"Kerforne dykes, France",-61,259,,,-76,88.7,(48.1/.7/63.1),198,"2743, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,9,,Hettangian–Sinemurian limestone,-55,280,,,-69.1,54,(47.8/1.1/62.5),201,"3141, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
7,3,,Paris Basin sediments,-51,285,,,-65.8,44.1,(47.8/1.1/62.5),201,"3029, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,4.5,,"Andesites, Ukraine",-50,286.4,,,-65.3,41.7,(47.6/1.6/61.9),204.2,Yuan et al. (2011),"Stable “Europe” (301, 302, 401 from 250 Myr)"
6,8,,"Rhaetian sediments, Germany, France",-50,292,-58,272.9,-73.6,65.6,(47.3/2.2/61.1),208,"3141, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,5.1,,"Merci mudstone, Somerset",-50,308,-58.2,298.2,-61.7,60.7,(46.6/3.2/59.5),215,"3311, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,4.6,,Sunnhordland dike,-50,305,,,-56.9,45.8,(46/3.9/58.2),221,"T, Walderhaug (1993)","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,6,,Gipskeuper sediments,-49,311,,,-52.9,46.9,(46/3.9/58.2),226,"3141, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2.9,,"Taimyr Sills, Siberia",-47.1,301.6,,,-57.8,39.2,(46/3.9/58.2),228,Walderhaug et al. (2005),"Stable “Europe” (301, 302, 401 from 250 Myr)"
6,3,,"Heming limestone, France",-54,321,,,-49.4,58.3,(46/3.9/58.2),234,"2411, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,12,,"Musschelkalk carbonates, Poland",-53,303,,,-59.1,50.4,(46/3.9/58.2),234,"3253, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,15,,"Bunter and Musschelkalk, Germany",-49,326,-56.5,318.6,-51.6,61.2,(46/3.9/58.2),239,"158, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,5,,"Upper Buntsandstein, France",-43,326,-47.8,322.2,-45.8,50.6,(46/3.9/58.2),243,"1028, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,3.8,,"Volpriehausen Formation, Germany",-49,348.2,-57,344.7,-39.2,71.2,(46/3.9/58.2),246,Szurlies (2004),"Stable “Europe” (301, 302, 401 from 250 Myr)"
6,7.8,,"Taimyr basalts, Siberia",-59.3,325.8,,,-49,67.4,(46/3.9/58.2),248,Walderhaug et al. (2005),"Stable “Europe” (301, 302, 401 from 250 Myr)"
7,3.3,,"German Trias, Lower Buntstein",-50.6,345.6,-58.8,341,-41.8,71.7,(46/3.9/58.2),249,"T, Szurlies et al. (2003)","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,10,,"Taimyr Siberian Traps, Siberia",-59,330,,,-46.9,68.2,(46/3.9/58.2),250,2832,"Stable “Europe” (301, 302, 401 from 250 Myr)"
6,3.3,,"Siberian Traps, Siberia",-56.2,326,,,-47.7,63.2,(46/3.9/58.2),251,Gurevitch et al. (2004),"Stable “Europe” (301, 302, 401 from 250 Myr)"
3,13.9,,"Kotuy River Siberian Traps, Siberia",-52.7,328.4,,,-44.8,59.6,(46/3.9/58.2),251,Pavlov et al. (2007),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2.1,,Siberian Traps NSP1 pole,-56.4,321.7,,,-49.9,62,(46/3.9/58.2),251,Pavlov et al. (2007),"Stable “Europe” (301, 302, 401 from 250 Myr)"
6,5,,"Sudetes sediments, Poland",-50,343,-59.3,336.5,-44.1,70.7,(46/3.9/58.2),251,"3161, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,5.3,,"Stolbovaya River Siberian Traps, Siberia",-53.3,330.2,,,-44.2,61.1,(46/3.9/58.2),251,Pavlov et al. (2007),"Stable “Europe” (301, 302, 401 from 250 Myr)"
3,5,,"Big Nirundaiver intrusion and sediments, Siberia",-54.3,323,,,-48.4,59.5,(46/3.9/58.2),251,Pavlov et al. (2007),"Stable “Europe” (301, 302, 401 from 250 Myr)"
3,2.7,,"Moyero River Siberian Traps, Siberia",-58.5,314.5,,,-54.3,63.2,(46/3.9/58.2),251,Gallet and Pavlov (1996); Pavlov et al. (2007),"Stable “Europe” (301, 302, 401 from 250 Myr)"
6,9.7,,"Siberian Traps Mean recalculated, Siberia",-52.8,334.4,,,-41.8,62.3,(46/3.9/58.2),251,"Kravchinsky et al. (2002), recalculated","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2.7,,"Dome de Barrot red beds, France",-46,327,-50,324.7,-45.5,54.7,(46/3.9/58.2),255,"652, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,4,,"Massif des Maures, France",-51,341,-55.4,338.1,-41.4,66.8,(46/3.9/58.2),255,"1408, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,3.5,,"Late Permian sediments, Urals",-45.6,350.2,-54.9,338.2,-41,66.2,(46/3.9/58.2),260,Bazhenov et al. (2008),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,5,,"Esterel sediments, France",-47,331,-50.6,327.7,-44.2,56.7,(46/3.9/58.2),261,"165, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,4,,"Brive Basin sediments, France",-49,343,-52.6,341.7,-38,65.3,(46/3.9/58.2),261,"3144, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,0,,"Permian red beds, Lodeve, France",-53,331,-58.6,326.4,-48.5,66.5,(46/3.9/58.2),264,"1207, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,1.5,,"Lodeve Basin, France",-49,334,-52.5,331.5,-43.1,60.7,(46/3.9/58.2),264,"1813, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,4.6,,"Upper Lodeve sandstone, France",-47,336,-49.3,334.7,-39.6,58.5,(46/3.9/58.2),264,"168, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,4,,"Saxonian red sandstone, France",-51,324,-56.4,318.8,-51.4,61,(46/3.9/58.2),264,"2361, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,6.1,,"Esterel extrusives, France",-51.5,322,,,-47.7,55.3,(46/3.9/58.2),264,"165, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,4.1,,Cracow volcanics B,-50,344,,,-35.3,63.8,(46/3.9/58.2),269,Nawrocki et al. (2008),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2.5,,"Lunner dikes, Norway",-51,343,,,-36.4,64.3,(46/3.9/58.2),271,Dominguez et al. (2011),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,5.9,,"Lunner dikes, Norway",-53,344,,,-37.1,66.7,(46/3.9/58.2),271,"3188, T (redated)","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,8.6,,"Bohuslan dikes combined, Sweden",-51,345,,,-35.4,65.3,(46/3.9/58.2),275,"1155, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,11,,"Scania melaphyre dikes, Sweden",-54,352,,,-34.1,71.4,(46/3.9/58.2),279,"2222, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,7,,"Bohemian quartz porphyry, Germany",-37,341,,,-28.3,50.6,(46/3.9/58.2),280,"3145, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,14,,"Mauchline lavas, Scotland",-47,337,,,-37.1,57.3,(46/3.9/58.2),280,"3093, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,10,,"Bohemian Massif igneous, Germany",-42,346,,,-29,57.8,(46/3.9/58.2),280,"2356, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,1,,"Oslo volcanics, Norway",-47,337,,,-37.1,57.3,(46/3.9/58.2),281,"915, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,13.4,,"Ringerike lavas, Norway",-44.6,337.4,,,-35.4,55.2,(46/3.9/58.2),281,1830,"Stable “Europe” (301, 302, 401 from 250 Myr)"
4,6.9,,"Sarna alkaline intrusion, Sweden",-38,346,,,-26.2,54.6,(46/3.9/58.2),281,"1735, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,6.5,,"Trachytes, Ukraine",-49.4,359.7,,,-27.4,71.4,(46/3.9/58.2),282.6,Yuan et al. (2011),"Stable “Europe” (301, 302, 401 from 250 Myr)"
4,6.7,,"Moissey volcanics, France",-41,352,,,-25.1,60.6,(46/3.9/58.2),285,"1205, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,3.2,,"Intrasudetic Basin volcanics, Poland",-43,352,,,-26.5,62.1,(46/3.9/58.2),285,"3161, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,5.1,,"North Sudetic Basin sediments, Poland",-44,4,-48.6,4.1,-24.9,73.2,(46/3.9/58.2),285,"3161, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2,,"Krkonose Basin oil shales, Czech Republic",-40,346,-42.4,345.2,-29.6,57.7,(46/3.9/58.2),285,"2444, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,7.7,,Lower Lodeve sandstone,-44,350,-39.8,-9.4,-25,58.8,(46/3.9/58.2),285,"168, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,6.3,,"Mount Hunneberg Sill, Sweden",-38,346,,,-26.2,54.6,(46/3.9/58.2),285,"2211, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,8.1,,"North Sudetic Basin volcanics, Poland",-42,354,,,-24.8,62.5,(46/3.9/58.2),285,"3161, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2,,"Lodeve Basin, France",-42,349,-40.5,-9.8,-25.7,59,(46/3.9/58.2),285,"1813, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,17,,"Lodeve B Component, France",-49,342,-52.5,340.1,-38.7,64.5,(46/3.9/58.2),285,"2454, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,6.8,,"Intrasudetic basin sediments, Poland",-37,340,-38.5,339.4,-30.2,50.9,(46/3.9/58.2),285,"3161, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,7.9,,"Krakow volcanics, Poland",-43,345,,,-30.2,58.1,(46/3.9/58.2),285,"275, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,4,,"Bohemian red beds, Czech Republic",-41,345,-44,343.5,-31.6,58.1,(46/3.9/58.2),285,"167, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,13.2,,"Lower Silesia volcanics, Poland",-40,352,,,-24.3,59.8,(46/3.9/58.2),285,"465, T (recalculated)","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,4,,"Exeter Lavas, UK",-50,330,,,-42.6,57.1,(46/3.9/58.2),286,"165, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,5.9,,"Black Forest volcanics, Germany",-49,356,,,-28.8,69.1,(46/3.9/58.2),286,"170, T (recalculated)","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,10,,"Exeter Lavas, UK",-48,343,,,-34.5,61.4,(46/3.9/58.2),286,"411, T (recalculated)","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,1,,"Black Forest rhyolites, Germany",-42,353,,,-25.3,61.9,(46/3.9/58.2),286,"2941, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,5.8,,"Thuringer Forest sediments, Germany",-41.5,340,-45.3,338.1,-35.5,56.3,(46/3.9/58.2),287,"1792, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,2.4,,"Stabben Sill, Norway",-32,354,,,-17.3,55.4,(46/3.9/58.2),291,"1540, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,15.9,,"Saar–Nahe volcanics, Germany",-41,349,,,-26.7,58.8,(46/3.9/58.2),291,"712, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,13,,"Nahe volcanics, Germany",-46,347,,,-31.2,61.8,(46/3.9/58.2),291,"940, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,13,,"Sudetic Mountain granitoids, Poland",-42,346,,,-29,57.8,(46/3.9/58.2),293,"2446, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,4.8,,"Great Whin Sill, UK",-44,339,,,-34.1,55.5,(46/3.9/58.2),294,"585, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,3.5,,"Hadrian's Wall–Pennines Sill and Hett Dike (Whin Sill), UK",-32.9,347.1,,,-21.9,51.4,(46/3.9/58.2),294,"T, Liss et al. (2004)","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,6.3,,"Holy Island Sill and Dyke (Whin Sill), UK",-35.4,346.8,,,-23.9,53.1,(46/3.9/58.2),294,"T, Liss et al. (2004)","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,4,,"Nideck–Donon volcanics, France",-47,348,,,-31.3,63.2,(46/3.9/58.2),294,"1010, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,19,,"Lower Nideck volcanics, France",-42,348,,,-27.9,59,(46/3.9/58.2),294,"174, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,4.8,,"Cracow volcanics A, Poland",-44,355,,,-25.7,64.6,(46/3.9/58.2),294,Nawrocki et al. (2008),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,8.1,,"Alnwick Sill, High Green and St. Oswalds Chapel Dyke (Whin Sill), UK",-47.1,337.1,,,-37.1,57.5,(46/3.9/58.2),294,"T, Liss et al. (2004)","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,6.5,,"Scania dolerites, Sweden",-38,348,,,-25.1,55.8,(46/3.9/58.2),294,"2222, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,11,,"Scania dolerite dikes, Sweden",-37,354,,,-21.1,58.9,(46/3.9/58.2),294,"2211, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,7.1,,"Thuringer Forest volcanics, Germany",-37.1,350,,,-23.3,56.4,(46/3.9/58.2),295,"1792, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,13.6,,"Silesia volcanics, Poland",-43,354,,,-25.5,63.3,(46/3.9/58.2),296,"465, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,7.1,,"Arendal diabase dykes, Norway",-42.5,339.6,,,-32.8,54.5,(46/3.9/58.2),297,"175, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,2.9,,"Ny–Hellesund sills, Norway",-39,341,,,-29.7,52.3,(46/3.9/58.2),297,"626, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,1.3,,"Peterhead dyke, Scotland",-41,342,,,-30.5,54.6,(46/3.9/58.2),297,"1535, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,3,,"Donets basin, Ukraine",-43,345,-49.9,337.3,-38.6,60.4,(46/3.9/58.2),297,Iosifidi et al. (2010),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2.4,,"Svedlodarsk, Karamysh Formation, Donbas",-48.4,349.8,-56.1,341.2,-40.3,68.8,(46/3.9/58.2),299,Meijers et al. (2010),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,4,,"Mount Billinger sill, Sweden",-31,354,,,-16.6,54.7,(46/3.9/58.2),299,"2211, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2.2,,"Svetlodarsk, Kartamysh Formation, Donbas",-48.2,348.3,-55.9,339.4,-41,67.9,(46/3.9/58.2),299,Meijers et al. (2010),"Stable “Europe” (301, 302, 401 from 250 Myr)"
6,4,,"Donets basin, Ukraine",-42,359,-45.7,356.5,-26.3,66.8,(46/3.9/58.2),301,Iosifidi et al. (2010),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2,,"Debaltsevo Donbas, Ukraine",-48.2,342.3,,,-35,61.3,(46/3.9/58.2),303,Meijers et al. (2010),"Stable “Europe” (301, 302, 401 from 250 Myr)"
3,3,,"Wackerfield dyke, England",-49,349,,,-32.2,65.4,(46/3.9/58.2),303,"180, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,5.2,,"Queensferry sill, Scotland",-38.3,354,,,-22,59.8,(46/3.9/58.2),305,"2447, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,9,,"Westphalian–Stephanian red beds, Czech Republic",-38,343,-40.3,341.5,-30.3,53.7,(46/3.9/58.2),305,"167, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,2.9,,"Tashkovska Donbas, Ukraine",-38.4,339.5,,,-30.1,50.9,(46/3.9/58.2),312,Meijers et al. (2010),"Stable “Europe” (301, 302, 401 from 250 Myr)"
6,7,,"Burntisland–Kinghorn lavas, Scotland",-14,332,,,,,,332,"2447, T96 (redated)","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,8.2,,"Derbyshire Lavas, England",-14.3,335.9,,,,,,335,"2440, T","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,11,,"Cheviot Hills igneous, England",4,323,,,,,,396,"190, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,7,,"Old Red Sandstone lavas and sediments, Scotland",-5,320,,,,,,410,"194, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
7,3,,"Strathmore lavas, Scotland",2,318,,,,,,410,"1536, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,7.3,,"Devonian sediments, Podolia, Ukraine",3.7,325.5,,,,,,411,2664,"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,6,,"Lorne Plateau lavas, Scotland",2,321,,,,,,412,"193, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,2.5,,"Glenbervie ignimbrite, Scotland",-8,335,,,,,,415,"2565, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,4.3,,"Lintrathen ignimbrite, Scotland",-1,325,,,,,,415,"2565, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,4.9,,"Middle Silurian limestone, Dniester basin, Ukraine",-17,350,,,,,,419,Jelenska et al. (2005),"Stable “Europe” (301, 302, 401 from 250 Myr)"
7,9.1,,"Ringerike sandstone, Oslo, Norway",-19,344,-13.6,-16,,,,421,"1830, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,5.7,,"Foyers granite, Scotland",-27,346,,,,,,421,"1530, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,8,,Gotland Medby limestone,-23,351,,,,,,422,"1734, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,4.6,,"Yaruga limestone and dolomite, Dniester basin, Ukraine",-15,350,,,,,,424,Jelenska et al. (2005),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,7.9,,"Ratagen Complex, Scotland",-15,347,,,,,,425,"1200, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,6,,"Gotland Follingbo limestone, Sweden",-21,344,,,,,,425,"1734, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,2,,"Gotland Dacker limestone, Sweden",-19,349,,,,,,426,"1734, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,5.1,,"Gotland Visby limestone, Sweden",-19,352,,,,,,427,"2363, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
3,5,,"Strontian granite, Scotland",-21,344,,,,,,430,"1530, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,5.2,,"Peterhead granite, Scotland",-21,358,,,,,,432,"1535, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,13.4,,Swedish Limestone I(N),3,35,,,,,,458,"2362, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,4.8,,"Vestergotland (N3), Sweden",5,34,,,,,,459,"2362, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,4.9,,"Llandeilian limestone, St. Petersburg, Russia",12,41.9,,,,,,463,"Pavlov et al., 2008 EPSL","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,4.4,,"Vestergotland (N1–N2 and R13), Sweden",14,49,,,,,,466,"2362, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,6.7,,"Dapingian–Darriwilian limestone, Estonia",11.3,39.1,,,,,,467,"Plado et al., 2010GJI 180","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,9.2,,"Komstad Limestone, Sweden",19,51,,,,,,471,Torsvik and Rehnström (2003),"Stable “Europe” (301, 302, 401 from 250 Myr)"
6,6.8,,"Gullhøgen (R1 + R2), Sweden",18.7,54,,,,,,472,"2959, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
4,7.1,,"Florian limestone, Estonia",25,50.9,,,,,,472,"Plado et al., 2010GJI 180","Stable “Europe” (301, 302, 401 from 250 Myr)"
5,9,,Swedish Limestones,30,55,,,,,,475,"2541, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,5.1,,Swedish Limestones I(R),18,46,,,,,,475,"2438, T96","Stable “Europe” (301, 302, 401 from 250 Myr)"
6,4,,"Narva Ordovician limestone, Russia",18,55,,,,,,477,Khramov and Iosifidi (2009),"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,3.6,,"St Petersburg Limestone, Russia",34.7,59.1,,,,,,478,3179,"Stable “Europe” (301, 302, 401 from 250 Myr)"
5,5,,"Narva Cambrian sandstone, Russia",22,87,34.2,79.8,,,,500,Khramov and Iosifidi (2009),"Stable “Europe” (301, 302, 401 from 250 Myr)"
3,6.8,,"Andrarum limestone, Sweden",52,111,,,,,,500.1,3425,"Stable “Europe” (301, 302, 401 from 250 Myr)"
