age,sample,meter,d18O,T_le,T_pu,type,min,period,stage,conzone,chizone,country,state,lat,long,source
420,CZ 462,,17.64,32.62,35.3952,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
445.46,9623,,18.61,28.255,31.3018,Conodont,apatite,Ordovician,Katian,,,Canada,Devon Island,75.14,-81.85,Trotter_2008; Grossman_2022
445.49,CV -06,,17.9,31.45,34.298,Conodont,apatite,Ordovician,Katian,,,Canada,Tellego,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 02,,18.5,28.75,31.766,Conodont,apatite,Ordovician,Katian,,,Canada,Entrajo,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 05,,18.9,26.95,30.078,Conodont,apatite,Ordovician,Katian,,,Canada,Mirador,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 10,,20.5,19.75,23.326,Conodont,apatite,Ordovician,Katian,,,Canada,Tellego,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 30,,18.3,29.65,32.61,Conodont,apatite,Ordovician,Katian,,,Canada,Tellego,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 35,,19.5,24.25,27.546,Conodont,apatite,Ordovician,Katian,,,Canada,Mirador,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 45,,18.7,27.85,30.922,Conodont,apatite,Ordovician,Katian,,,Canada,Mirador,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 53,,20.2,21.1,24.592,Conodont,apatite,Ordovician,Katian,,,Canada,Tellego,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 63,,20,22,25.436,Conodont,apatite,Ordovician,Katian,,,Canada,Camporeddondo,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 75,,20.3,20.65,24.17,Conodont,apatite,Ordovician,Katian,,,Canada,Mirador,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 86,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,Canada,Camporeddondo,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 10,,19.6,23.8,27.124,Conodont,apatite,Ordovician,Katian,,,Canada,Tellego,49.75,-63.01,Elrick_2013; Grossman_2022
445.49,CV 128,,20.3,20.65,24.17,Conodont,apatite,Ordovician,Katian,,,Canada,Entrajo,49.75,-63.01,Elrick_2013; Grossman_2022
445.54,63AB-192,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Indiana,38.82,-85.3,QuintonP.C._2014; Grossman_2022
445.54,63AB-160,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,USA,Indiana,38.82,-85.3,QuintonP.C._2014; Grossman_2022
445.54,63AB-160,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Indiana,38.68,-83.71,QuintonP.C._2014; Grossman_2022
445.59,63AB-152,,18.6,28.3,31.344,Conodont,apatite,Ordovician,Katian,,,USA,Indiana,38.82,-85.3,QuintonP.C._2014; Grossman_2022
445.59,63AB-144,,18.7,27.85,30.922,Conodont,apatite,Ordovician,Katian,,,USA,Indiana,38.82,-85.3,QuintonP.C._2014; Grossman_2022
445.59,63AB-136,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Indiana,38.82,-85.3,QuintonP.C._2014; Grossman_2022
445.69,63AB-128,,19.8,22.9,26.28,Conodont,apatite,Ordovician,Katian,,,USA,Indiana,38.82,-85.3,QuintonP.C._2014; Grossman_2022
445.69,63AB-128,,19.8,22.9,26.28,Conodont,apatite,Ordovician,Katian,,,USA,Indiana,38.82,-85.3,QuintonP.C._2014; Grossman_2022
445.78,63AA-282,,18.7,27.85,30.922,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
445.78,63AA-289,,19,26.5,29.656,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
445.87,63AA-274,,18.3,29.65,32.61,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.12,63AA-238,,19.6,23.8,27.124,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.12,63AA-242,,18.3,29.65,32.61,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.12,63AA-242,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.37,63AA-210,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.47,PE 45 r,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,Canada,Camporeddondo,49.57,-62.69,Elrick_2013; Grossman_2022
446.47,PE 45 c,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,Canada,Mirador,49.57,-62.69,Elrick_2013; Grossman_2022
446.47,PE 50 c,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,Canada,Camporeddondo,49.57,-62.69,Elrick_2013; Grossman_2022
446.47,PE 80,,17.4,33.7,36.408,Conodont,apatite,Ordovician,Katian,,,Canada,Tellego,49.57,-62.69,Elrick_2013; Grossman_2022
446.47,PE 115 m,,19.6,23.8,27.124,Conodont,apatite,Ordovician,Katian,,,Canada,Mirador,49.57,-62.69,Elrick_2013; Grossman_2022
446.54,63AA-186,,18,31,33.876,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.54,63AA-186,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.54,63AA-194,,19.6,23.8,27.124,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.54,63AA-194,,17.5,33.25,35.986,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.87,63AA-148,,18.7,27.85,30.922,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.87,63AA-148,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.87,63AA-148,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
446.95,79134,,17.63,32.665,35.4374,Conodont,apatite,Ordovician,Katian,,,Canada,Manitoba,49.75,-99.66,Trotter_2008; Grossman_2022
446.95,79134,,18.73,27.715,30.7954,Conodont,apatite,Ordovician,Katian,,,Canada,Manitoba,49.75,-99.66,Trotter_2008; Grossman_2022
447.12,63AA-140,,19.4,24.7,27.968,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.82,-85.3,QuintonP.C._2014; Grossman_2022
447.22,63AA-124,,19,26.5,29.656,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
447.22,63AA-124,,18.3,29.65,32.61,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
447.29,63AA-116,,17.9,31.45,34.298,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
447.29,63AA-116,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
447.49,63AA-100,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
447.69,63AA-86,,17.7,32.35,35.142,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
447.76,63AA-76,,18.4,29.2,32.188,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.68,-83.71,QuintonP.C._2014; Grossman_2022
447.93,MF,,18.3,29.65,32.61,Conodont,apatite,Ordovician,Katian,,,USA,Texas,30.16,-103.24,Albanesi_2019; Grossman_2022
448.23,75HC-220,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.13,75HC-145,,18.2,30.1,33.032,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.19,66 KK-30,,17.9,31.45,34.298,Conodont,apatite,Ordovician,Sandbian,,,USA,Kentucky,38.5,-84.34,Luz_1984; Grossman_2022
449.19,66-KK-26 TW,,21.8,13.9,17.84,Conodont,apatite,Ordovician,Sandbian,,,USA,Kentucky,38.5,-84.34,Luz_1984; Grossman_2022
449.19,66 KK-1 TW B,,16.3,38.65,41.05,Brachiopod phosphate,apatite,Ordovician,Sandbian,,,USA,Kentucky,38.5,-84.34,Luz_1984; Grossman_2022
449.19,8135,,17.93,31.315,34.1714,Conodont,apatite,Ordovician,Darriwilian,,,Canada,Devon Island,75.14,-81.85,Trotter_2008; Grossman_2022
449.36,75HA-65,,18.2,30.1,33.032,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.36,75HA-65,,17.7,32.35,35.142,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.36,75HA-70,,20.2,21.1,24.592,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.36,75HA-70,,18.9,26.95,30.078,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.36,75HC-110,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.36,75HC-125,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.36,75HC-125,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.36,75HC-135,,18.5,28.75,31.766,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.36,75HC-135,,18.9,26.95,30.078,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.39,MW 05,,19,26.5,29.656,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.68,-83.8,Elrick_2013; Grossman_2022
449.39,MW 12,,18.3,29.65,32.61,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.68,-83.8,Elrick_2013; Grossman_2022
449.39,MW 22 r,,18.7,27.85,30.922,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.68,-83.8,Elrick_2013; Grossman_2022
449.39,MW 22 c,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.68,-83.8,Elrick_2013; Grossman_2022
449.39,MW 32,,18.7,27.85,30.922,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.68,-83.8,Elrick_2013; Grossman_2022
449.39,MW 49,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.68,-83.8,Elrick_2013; Grossman_2022
449.39,MW 6,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.68,-83.8,Elrick_2013; Grossman_2022
449.39,MW 65,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.68,-83.8,Elrick_2013; Grossman_2022
449.59,75HC-85,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.59,75HC-95,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.59,75HC-95,,18.4,29.2,32.188,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.82,75HC-65,,18.5,28.75,31.766,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.82,75HC-70,,19,26.5,29.656,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
449.94,66 KB-6B,,14.2,48.1,49.912,Brachiopod phosphate,apatite,Ordovician,Sandbian,,,USA,Ohio,39.21,-84.76,Luz_1984; Grossman_2022
450.05,75HB-70,,18.9,26.95,30.078,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.05,75HB-70,,19.7,23.35,26.702,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.05,75HB-70,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.05,75HC-20,,19.6,23.8,27.124,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.05,75HC-45,,18.2,30.1,33.032,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.05,75HC-45,,18.4,29.2,32.188,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.28,75HB-40,,19.4,24.7,27.968,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.28,75HB-60,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.28,75HB-60,,19.7,23.35,26.702,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.51,75HA-35,,18.5,28.75,31.766,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.51,75HA-35,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.51,75HA-35,,18.6,28.3,31.344,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.51,75HA-45,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.51,75HB-10,,18.3,29.65,32.61,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.51,75HB-25,,18.5,28.75,31.766,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.51,75HB-25,,19.4,24.7,27.968,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.51,75HB-25,,18.9,26.95,30.078,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.51,75HB-25,,19.4,24.7,27.968,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.74,75HA-5,,20.3,20.65,24.17,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.74,75HA-5,,19,26.5,29.656,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.74,75HA-15,,18.7,27.85,30.922,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.74,75HA-15,,19,26.5,29.656,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.74,75HA-15,,18.6,28.3,31.344,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.74,75HA-25,,19.8,22.9,26.28,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.74,75HB-0,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
450.74,75HB-0,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.58,-85.17,QuintonP.C._2014; Grossman_2022
451.2,60BCK-109,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.85,-84.1,QuintonP.C._2014; Grossman_2022
451.2,60BCK-109,,18.9,26.95,30.078,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.85,-84.1,QuintonP.C._2014; Grossman_2022
451.43,60BCK-91,,18.3,29.65,32.61,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.85,-84.1,QuintonP.C._2014; Grossman_2022
451.43,60BCK-97,,19.6,23.8,27.124,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.85,-84.1,QuintonP.C._2014; Grossman_2022
451.66,60BCK-56.5,,18.2,30.1,33.032,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.85,-84.1,QuintonP.C._2014; Grossman_2022
451.66,60BCK-56.5,,18.7,27.85,30.922,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.85,-84.1,QuintonP.C._2014; Grossman_2022
451.66,60BCK-56.5,,18.9,26.95,30.078,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.85,-84.1,QuintonP.C._2014; Grossman_2022
451.66,60BCK-67.5,,18.9,26.95,30.078,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.85,-84.1,QuintonP.C._2014; Grossman_2022
451.78,sl3-44ab,,19.6,23.8,27.124,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
451.83,sl3-43ab,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
451.89,60BCK-13.5,,19,26.5,29.656,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.85,-84.1,QuintonP.C._2014; Grossman_2022
451.89,60BCK-26,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.85,-84.1,QuintonP.C._2014; Grossman_2022
451.92,sl3-42b,,19.4,24.7,27.968,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.03,06SL3-39,,18.7,27.85,30.922,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.07,sl3-38a,,19,26.5,29.656,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.12,60BCK-11,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Ohio,38.85,-84.1,QuintonP.C._2014; Grossman_2022
452.15,sl3-36ab,,19.5,24.25,27.546,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.22,06SL3-34,,18.6,28.3,31.344,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.26,06SL3-33,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.31,FW 02,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.85,Elrick_2013; Grossman_2022
452.31,FW 08,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.85,Elrick_2013; Grossman_2022
452.31,FW 18,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.85,Elrick_2013; Grossman_2022
452.31,FW 23,,18.5,28.75,31.766,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.85,Elrick_2013; Grossman_2022
452.31,FW 28,,18.4,29.2,32.188,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.85,Elrick_2013; Grossman_2022
452.31,FW 35,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.85,Elrick_2013; Grossman_2022
452.31,FW 39,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.85,Elrick_2013; Grossman_2022
452.31,FWZ 06,,18.4,29.2,32.188,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.86,Elrick_2013; Grossman_2022
452.31,FWZ 11,,17.9,31.45,34.298,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.86,Elrick_2013; Grossman_2022
452.31,FWZ 14,,17.8,31.9,34.72,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.86,Elrick_2013; Grossman_2022
452.31,FWZ 18,,17.6,32.8,35.564,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.86,Elrick_2013; Grossman_2022
452.31,FWZ 24,,19.4,24.7,27.968,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.86,Elrick_2013; Grossman_2022
452.31,FWZ 3,,18.5,28.75,31.766,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.86,Elrick_2013; Grossman_2022
452.31,FWZ 45,,17.1,35.05,37.674,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.86,Elrick_2013; Grossman_2022
452.31,FWZ 54,,17.9,31.45,34.298,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.86,Elrick_2013; Grossman_2022
452.31,FWZ 79,,18.1,30.55,33.454,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.86,Elrick_2013; Grossman_2022
452.31,FWZ 85,,19.4,24.7,27.968,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.86,Elrick_2013; Grossman_2022
452.31,FWZ 91,,17.5,33.25,35.986,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.22,-84.86,Elrick_2013; Grossman_2022
452.31,FN 02,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FN 05,,19.6,23.8,27.124,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FN 07,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FN 10 r,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FN 10 c,,18.6,28.3,31.344,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FN 13,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FN 17,,18.9,26.95,30.078,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FN 21,,19.6,23.8,27.124,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FN 24,,19.6,23.8,27.124,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FN 32,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FX 08,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FX 12,,17.5,33.25,35.986,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FX 18,,18.8,27.4,30.5,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FX 29,,18.9,26.95,30.078,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FX 34,,17,35.5,38.096,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FX 42,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FX 49,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.31,FX 53,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Kentucky,38.2,-84.89,Elrick_2013; Grossman_2022
452.33,06SL3-31,,18.5,28.75,31.766,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.37,06SL3-30,,18.7,27.85,30.922,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.37,sl3-30b,,19.6,23.8,27.124,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.4,06SL3-29,,19.4,24.7,27.968,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.4,sl3-29a,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.44,sl3-28ab,,19.8,22.9,26.28,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.48,sl3-27b,,19.3,25.15,28.39,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.48,sl3-27a,,19.2,25.6,28.812,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.52,06SL3-26,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.52,sl3-26b,,19.8,22.9,26.28,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.52,sl3-26a,,19.7,23.35,26.702,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
452.55,sl3-25ab,,19.1,26.05,29.234,Conodont,apatite,Ordovician,Katian,,,USA,Oklahoma,34.61,-96.63,Rosenau_2012; Grossman_2022
